id	parent	name	lat	lon	zoom	iso
4446a1cb-fd59-48f4-9d1b-48032afc7c1f		Europe	52	15	4	
42282d9d-2006-4fdc-b2c4-6ef854024db9	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	Portugal	39.5	-8	5	PRT
943c5587-70c1-4009-aeab-e1540b6d7343	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	Castile & Aragon	40.4	-3.7	5	ESP
5d1325e8-fb98-4bf1-b5d2-129f2a830916	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	Ottoman Empire	39	32	4	TUR;GRC;BGR;SRB;BIH;ALB;MKD;ROU;IRQ;SYR;LBN;ISR;PSE;JOR
f6d0191e-f10e-432c-9a69-9f813a3236ab	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	Republic of Venice	45.4	12.3	6	HRV;CYP
e5b204ee-61a5-4f77-8d4d-832f2c09b8b9	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	Florence	43.8	11.2	6	ITA
e89ae738-2a92-4e65-9d89-070d637d7c93	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	France	46.2	2.2	5	FRA
ee38cfe7-2e70-4244-91c3-898a0c2911fe	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	England	52.4	-1.5	5	GBR;IRL
c7bc3842-6d28-4869-af33-df2a24180513		Asia	35	95	3	
aeaa0fbb-4f85-4ab3-b7ba-cc2099072ae4	c7bc3842-6d28-4869-af33-df2a24180513	Ming China	32	110	4	CHN;TWN
39316e2a-255e-4b53-864a-55e712c674a8	c7bc3842-6d28-4869-af33-df2a24180513	Timurid Empire	37	63	4	UZB;TJK;AFG;TKM
239655e5-903a-4430-b117-e78f8eb6d0a8	c7bc3842-6d28-4869-af33-df2a24180513	Joseon Korea	37.5	127	5	PRK;KOR
ff6fbcf6-a1a7-458c-9cb3-678b93a764bb	c7bc3842-6d28-4869-af33-df2a24180513	Muromachi Japan	35.7	136	5	JPN
75bce05d-3610-4447-afca-cae57b372b60	c7bc3842-6d28-4869-af33-df2a24180513	Delhi Sultanate	28.6	77.2	4	IND;PAK;BGD
ad576d4b-190d-402c-86f6-e719eed11ee1		Middle East	30	42	4	
14646350-d755-4ab6-b13f-c12e73b07a47		Africa	5	20	3	
3baacfb1-9598-4b46-84ff-582b08851037	14646350-d755-4ab6-b13f-c12e73b07a47	Songhai Empire	15.5	0	4	MLI;NER;BFA
4d9ccccf-0c1e-4d25-b275-584e6873993f	14646350-d755-4ab6-b13f-c12e73b07a47	Mali Empire	12	-8	5	GIN;GMB;SEN
ca02645b-6b18-40a1-ac68-e668589309a0	14646350-d755-4ab6-b13f-c12e73b07a47	Ethiopian Empire	9	38.7	5	ETH;ERI
d3a8eaea-8b7b-40dd-8656-26fdac2b0cc2	14646350-d755-4ab6-b13f-c12e73b07a47	Swahili City-States	-4	39.6	5	KEN;TZA;MOZ
c7cc0153-31e9-4860-b389-6e515fdc8254		North America	23	-100	3	
78258247-9723-4cf1-b876-9d56f2a38812	c7cc0153-31e9-4860-b389-6e515fdc8254	Aztec Triple Alliance	19.4	-99.1	5	MEX
baca9476-8fa9-40cb-ae0a-f2f53ccbfec8	c7cc0153-31e9-4860-b389-6e515fdc8254	Maya City-States	17	-89	5	GTM;BLZ;HND
7d510f06-2eb9-41e7-a9c0-aebf4a332ee6		South America	-15	-60	3	
16943c93-c06b-43ed-b830-def7ae3025f8	7d510f06-2eb9-41e7-a9c0-aebf4a332ee6	Inca Empire	-13.5	-72	4	PER;BOL;ECU;CHL;ARG
c71ef2e3-d1e5-4140-a1c2-76b50d7f79cb		Oceania	-25	140	3	
f11bfafc-c78f-44b0-87ee-fe8f6efd9c8e	c71ef2e3-d1e5-4140-a1c2-76b50d7f79cb	Māori New Zealand	-40.9	174.9	5	NZL
